NOVA_EXT_MAX,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
0.5,BTCUSDT,F_192,2026-08-20T20:25:00+00:00,2026-08-20T20:50:00+00:00,72894.64,72594.498593,1000.0,-4.1175,,stop,5
0.5,BTCUSDT,F_192,2026-08-20T23:15:00+00:00,2026-08-21T00:10:00+00:00,73022.796387,73352.237209,1000.0,4.5115,,tp,11
0.5,BTCUSDT,F_192,2026-08-21T04:35:00+00:00,2026-08-21T06:40:00+00:00,75063.475826,75652.850529,1000.0,7.8517,,tp,25
0.5,BTCUSDT,F_192,2026-08-21T08:35:00+00:00,2026-08-21T08:55:00+00:00,77661.879365,78887.412236,1000.0,15.7804,,tp,4
0.5,BTCUSDT,F_192,2026-08-21T20:20:00+00:00,2026-08-21T21:30:00+00:00,77528.6564,78163.109233,1000.0,8.1835,,tp,14
0.5,BTCUSDT,F_192,2026-08-21T22:10:00+00:00,2026-08-21T22:30:00+00:00,78833.830924,78135.951965,1000.0,-8.8525,,stop,4
0.5,BTCUSDT,F_192,2026-08-22T02:45:00+00:00,2026-08-22T04:00:00+00:00,78612.313325,78186.555638,1000.0,-5.4159,,stop,15
0.5,BTCUSDT,F_192,2026-08-22T07:05:00+00:00,2026-08-22T07:10:00+00:00,77726.092734,77244.338667,1000.0,-6.1981,,stop,1
0.5,BTCUSDT,F_192,2026-08-22T12:30:00+00:00,2026-08-22T12:30:00+00:00,77430.539013,77124.789134,1000.0,-3.9487,,stop,0
0.5,BTCUSDT,F_192,2026-08-22T12:45:00+00:00,2026-08-22T12:50:00+00:00,77444.5472,77158.018352,1000.0,-3.6998,,stop,1
0.5,BTCUSDT,F_192,2026-08-22T16:20:00+00:00,2026-08-22T17:25:00+00:00,77268.478608,76993.733608,1000.0,-3.5557,,stop,13
0.5,BTCUSDT,F_192,2026-08-23T00:35:00+00:00,2026-08-23T00:35:00+00:00,77377.470113,77141.464242,1000.0,-3.0501,,stop,0
0.5,BTCUSDT,F_192,2026-08-23T01:15:00+00:00,2026-08-23T01:15:00+00:00,77500.62,77234.154903,1000.0,-3.4382,,stop,0
0.5,BTCUSDT,F_192,2026-08-23T10:10:00+00:00,2026-08-23T10:10:00+00:00,76778.512479,76516.828263,1000.0,-3.4083,,stop,0
0.5,BTCUSDT,F_192,2026-08-23T11:20:00+00:00,2026-08-23T13:15:00+00:00,77074.676993,77397.640517,1000.0,4.1903,,tp,23
0.5,BTCUSDT,F_192,2026-08-23T21:30:00+00:00,2026-08-23T21:35:00+00:00,78125.611434,77834.159601,1000.0,-3.7306,,stop,1
0.5,BTCUSDT,F_192,2026-08-24T06:50:00+00:00,2026-08-24T07:40:00+00:00,77604.635044,77255.265325,1000.0,-4.5019,,stop,10
0.5,BTCUSDT,F_192,2026-08-24T09:50:00+00:00,2026-08-24T10:30:00+00:00,77616.750774,77906.075329,1000.0,3.7276,,tp,8
0.5,BTCUSDT,F_192,2026-08-24T10:20:00+00:00,2026-08-24T10:40:00+00:00,78029.827076,77679.052859,1000.0,-4.4954,,stop,4
0.5,BTCUSDT,F_192,2026-08-24T12:50:00+00:00,2026-08-24T13:30:00+00:00,79074.653587,78484.857603,1000.0,-7.4587,,stop,8
0.5,BTCUSDT,F_192,2026-08-25T00:55:00+00:00,2026-08-25T01:15:00+00:00,79950.861178,79441.077633,1000.0,-6.3762,,stop,4
0.5,BTCUSDT,F_192,2026-08-25T06:15:00+00:00,2026-08-25T06:30:00+00:00,80957.297847,80612.742012,1000.0,-4.256,,stop,3
0.5,BTCUSDT,F_192,2026-08-25T16:00:00+00:00,2026-08-25T16:10:00+00:00,79605.362613,79169.478321,1000.0,-5.4756,,stop,2
0.5,BTCUSDT,F_192,2026-08-26T01:05:00+00:00,2026-08-26T09:15:00+00:00,78912.322831,78481.261528,1000.0,-5.4625,,stop,98
0.5,BTCUSDT,F_192,2026-08-26T02:25:00+00:00,2026-08-26T04:45:00+00:00,79088.020942,78783.400632,1000.0,-3.8517,,stop,28
0.5,BTCUSDT,F_192,2026-08-26T06:10:00+00:00,2026-08-26T06:10:00+00:00,79269.166125,78907.870936,1000.0,-4.5578,,stop,0
