NOVA_EXIT,NOVA_TRIG,NOVA_LOCK,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-19T05:16:00+00:00,2026-07-19T05:22:00+00:00,76.178904,75.920079,1000.0,-3.3976,,stop,6
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-19T07:26:00+00:00,2026-07-19T07:32:00+00:00,76.309073,76.051506,1000.0,-3.3753,,stop,6
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-19T14:06:00+00:00,2026-07-19T14:17:00+00:00,76.349125,76.077239,1000.0,-3.5611,,stop,11
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-19T14:36:00+00:00,2026-07-19T15:17:00+00:00,76.439242,76.11445,1000.0,-4.249,,stop,41
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-19T21:01:00+00:00,2026-07-19T21:16:00+00:00,76.248995,75.984372,1000.0,-3.4705,,stop,15
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-19T22:21:00+00:00,2026-07-19T22:32:00+00:00,76.439242,75.961792,1000.0,-6.2461,,stop,11
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-19T23:36:00+00:00,2026-07-20T00:01:00+00:00,76.559398,76.153127,1000.0,-5.3066,,stop,25
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-20T00:11:00+00:00,2026-07-20T00:52:00+00:00,76.889827,76.384683,1000.0,-6.5697,,stop,41
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-20T01:11:00+00:00,2026-07-20T01:43:00+00:00,77.30036,76.552141,1000.0,-9.6794,,stop,32
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-20T07:46:00+00:00,2026-07-20T08:37:00+00:00,76.228969,75.831688,1000.0,-5.2117,,stop,51
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-20T09:31:00+00:00,2026-07-20T10:01:00+00:00,76.719606,76.281739,1000.0,-5.7074,,stop,30
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-20T11:36:00+00:00,2026-07-20T12:03:00+00:00,77.070061,76.667406,1000.0,-5.2245,,stop,27
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-20T15:46:00+00:00,2026-07-20T15:58:00+00:00,77.440542,77.663067,1000.0,2.8735,,stop,12
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-20T15:56:00+00:00,2026-07-20T17:44:00+00:00,77.921166,77.27629,1000.0,-8.276,,stop,108
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-20T18:06:00+00:00,2026-07-20T18:43:00+00:00,78.131439,77.707431,1000.0,-5.4269,,stop,37
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-20T20:31:00+00:00,2026-07-20T22:00:00+00:00,77.941192,77.551672,1000.0,-4.9976,,stop,89
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-21T00:21:00+00:00,2026-07-21T01:57:00+00:00,78.091387,77.747327,1000.0,-4.4059,,stop,96
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-21T03:11:00+00:00,2026-07-21T03:20:00+00:00,78.531959,78.091736,1000.0,-5.6057,,stop,9
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-21T06:41:00+00:00,2026-07-21T07:22:00+00:00,78.872401,78.45599,1000.0,-5.2796,,stop,41
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-21T20:41:00+00:00,2026-07-21T20:46:00+00:00,78.171491,77.861568,1000.0,-3.9647,,stop,5
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-21T23:51:00+00:00,2026-07-22T03:00:00+00:00,78.261608,77.972968,1000.0,-3.6881,,stop,189
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-22T00:16:00+00:00,2026-07-22T01:16:00+00:00,78.541972,78.214447,1000.0,-4.1701,,stop,60
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-22T08:26:00+00:00,2026-07-22T12:23:00+00:00,77.510633,77.155914,1000.0,-4.5764,,stop,237
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-22T11:26:00+00:00,2026-07-22T11:30:00+00:00,77.831049,77.521568,1000.0,-3.9763,,stop,4
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-22T13:46:00+00:00,2026-07-22T14:06:00+00:00,77.971231,78.211253,1000.0,3.0783,,stop,20
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-22T15:31:00+00:00,2026-07-22T16:15:00+00:00,78.812323,78.221931,1000.0,-7.4911,,stop,44
