NOVA_BODY,NOVA_RNG_ATR,NOVA_LB,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
0.6,0.8,50,BNBUSDT,F_126,2026-08-19T11:35:00+00:00,2026-08-19T11:35:00+00:00,604.274537,602.87692,1000.0,-2.3129,,stop,0
0.6,0.8,50,BNBUSDT,F_126,2026-08-19T12:35:00+00:00,2026-08-19T12:35:00+00:00,604.715109,603.33832,1000.0,-2.2768,,stop,0
0.6,0.8,50,BNBUSDT,F_126,2026-08-19T12:45:00+00:00,2026-08-19T12:45:00+00:00,605.466084,603.992729,1000.0,-2.4334,,stop,0
0.6,0.8,50,BNBUSDT,F_126,2026-08-19T12:50:00+00:00,2026-08-19T12:50:00+00:00,606.026812,604.511353,1000.0,-2.5006,,stop,0
0.6,0.8,50,BNBUSDT,F_126,2026-08-19T14:40:00+00:00,2026-08-19T15:05:00+00:00,607.418619,609.622221,1000.0,3.6278,,tp,5
0.6,0.8,50,BNBUSDT,F_126,2026-08-19T15:05:00+00:00,2026-08-19T15:25:00+00:00,611.143455,613.670359,1000.0,4.1347,,tp,4
0.6,0.8,50,BNBUSDT,F_126,2026-08-19T15:25:00+00:00,2026-08-19T15:25:00+00:00,614.928369,618.839973,1000.0,6.3611,,tp,0
0.6,0.8,50,BNBUSDT,F_126,2026-08-19T15:30:00+00:00,2026-08-19T15:50:00+00:00,619.10379,615.167317,1000.0,-6.3583,,stop,4
0.6,0.8,50,BNBUSDT,F_126,2026-08-19T20:55:00+00:00,2026-08-19T20:55:00+00:00,624.881291,622.267005,1000.0,-4.1837,,stop,0
0.6,0.8,50,BNBUSDT,F_126,2026-08-19T21:05:00+00:00,2026-08-19T21:30:00+00:00,626.953982,630.838539,1000.0,6.1959,,tp,5
0.6,0.8,50,BNBUSDT,F_126,2026-08-19T21:35:00+00:00,2026-08-19T22:30:00+00:00,632.240846,627.466934,1000.0,-7.5508,,stop,11
0.6,0.8,50,BNBUSDT,F_126,2026-08-19T21:55:00+00:00,2026-08-19T22:10:00+00:00,636.956969,630.947099,1000.0,-9.4353,,stop,3
0.6,0.8,50,BNBUSDT,F_126,2026-08-20T06:55:00+00:00,2026-08-20T07:30:00+00:00,630.168155,627.522742,1000.0,-4.1979,,stop,7
0.6,0.8,50,BNBUSDT,F_126,2026-08-20T08:10:00+00:00,2026-08-20T08:10:00+00:00,636.055799,640.938637,1000.0,7.6767,,tp,0
0.6,0.8,50,BNBUSDT,F_126,2026-08-20T08:15:00+00:00,2026-08-20T08:30:00+00:00,642.183755,637.462546,1000.0,-7.3518,,stop,3
0.6,0.8,50,BNBUSDT,F_126,2026-08-20T10:20:00+00:00,2026-08-20T10:25:00+00:00,647.360476,643.335908,1000.0,-6.2169,,stop,1
0.6,0.8,50,BNBUSDT,F_126,2026-08-20T11:50:00+00:00,2026-08-20T11:50:00+00:00,649.723544,646.205241,1000.0,-5.4151,,stop,0
