symbol,NOVA_SCORE_TH,NOVA_FLOW_MOM,NOVA_VOL_MOM,net,trades,win_pct,pf
LINKUSDT,72,3.0,3.0,16.438120857999877,174,86.21,2.430769298907201
LINKUSDT,72,4.0,2.0,19.952618578258736,183,87.43,2.7983687147346563
LINKUSDT,72,4.0,2.5,18.103461668313628,171,87.13,2.696507413160082
LINKUSDT,72,4.0,3.0,17.32351745388116,154,87.01,2.887071806909177
LINKUSDT,75,2.5,2.0,19.18899628184287,225,85.78,2.2422240310808563
LINKUSDT,75,2.5,2.5,16.780325756101462,202,85.15,2.1441707549686893
LINKUSDT,75,2.5,3.0,17.110833532252805,179,86.03,2.453238637789626
LINKUSDT,75,3.0,2.0,19.454496265862296,218,86.24,2.319383956606131
LINKUSDT,75,3.0,2.5,17.323590553643385,198,85.86,2.2406095790037637
LINKUSDT,75,3.0,3.0,16.438120857999877,174,86.21,2.430769298907201
LINKUSDT,75,4.0,2.0,19.952618578258736,183,87.43,2.7983687147346563
LINKUSDT,75,4.0,2.5,18.103461668313628,171,87.13,2.696507413160082
LINKUSDT,75,4.0,3.0,17.32351745388116,154,87.01,2.887071806909177
GRAMUSDT,70,2.5,2.0,3.7399024604267197,63,80.95,1.7528342147272367
GRAMUSDT,70,2.5,2.5,3.7496171592499987,54,81.48,1.9019823093723842
GRAMUSDT,70,2.5,3.0,5.676110418097617,51,84.31,2.9722396052729083
GRAMUSDT,70,3.0,2.0,3.8508634594296574,60,81.67,1.8193585182268786
GRAMUSDT,70,3.0,2.5,3.924461158252935,52,82.69,2.009073438689821
GRAMUSDT,70,3.0,3.0,5.850954417100554,49,85.71,3.2416673426785745
GRAMUSDT,70,4.0,2.0,4.010521400806332,50,82.0,2.121279036521673
GRAMUSDT,70,4.0,2.5,4.428808594991965,44,84.09,2.601125616273524
GRAMUSDT,70,4.0,3.0,5.643872946979235,42,85.71,3.5813627020579535
GRAMUSDT,72,2.5,2.0,3.7399024604267197,63,80.95,1.7528342147272367
GRAMUSDT,72,2.5,2.5,3.7496171592499987,54,81.48,1.9019823093723842
GRAMUSDT,72,2.5,3.0,5.676110418097617,51,84.31,2.9722396052729083
GRAMUSDT,72,3.0,2.0,3.8508634594296574,60,81.67,1.8193585182268786
GRAMUSDT,72,3.0,2.5,3.924461158252935,52,82.69,2.009073438689821
GRAMUSDT,72,3.0,3.0,5.850954417100554,49,85.71,3.2416673426785745
GRAMUSDT,72,4.0,2.0,4.010521400806332,50,82.0,2.121279036521673
GRAMUSDT,72,4.0,2.5,4.428808594991965,44,84.09,2.601125616273524
GRAMUSDT,72,4.0,3.0,5.643872946979235,42,85.71,3.5813627020579535
GRAMUSDT,75,2.5,2.0,3.7399024604267197,63,80.95,1.7528342147272367
GRAMUSDT,75,2.5,2.5,3.7496171592499987,54,81.48,1.9019823093723842
GRAMUSDT,75,2.5,3.0,5.676110418097617,51,84.31,2.9722396052729083
GRAMUSDT,75,3.0,2.0,3.8508634594296574,60,81.67,1.8193585182268786
GRAMUSDT,75,3.0,2.5,3.924461158252935,52,82.69,2.009073438689821
GRAMUSDT,75,3.0,3.0,5.850954417100554,49,85.71,3.2416673426785745
GRAMUSDT,75,4.0,2.0,4.010521400806332,50,82.0,2.121279036521673
GRAMUSDT,75,4.0,2.5,4.428808594991965,44,84.09,2.601125616273524
GRAMUSDT,75,4.0,3.0,5.643872946979235,42,85.71,3.5813627020579535
RENDERUSDT,70,2.5,2.0,2.0231863487954658,79,81.01,1.1935341928470846
RENDERUSDT,70,2.5,2.5,1.033016890079565,71,80.28,1.1075922655627277
RENDERUSDT,70,2.5,3.0,-0.2012909224748376,61,78.69,0.9775885094105353
