symbol,NOVA_BODY_RATIO,NOVA_RANGE_ATR,NOVA_LOOKBACK,net,trades,win_pct,pf
LINKUSDT,0.5,0.6,10,805.4764751207716,111,37.84,1.2230068075419538
LINKUSDT,0.5,0.6,20,929.0632721772649,78,41.03,1.4087536110574297
LINKUSDT,0.5,0.6,50,921.4902623643304,45,42.22,1.7121518121268404
LINKUSDT,0.5,0.8,10,994.4820527741409,106,38.68,1.294938505657617
LINKUSDT,0.5,0.8,20,1065.7998327224,75,42.67,1.4989276744244164
LINKUSDT,0.5,0.8,50,973.8456729728234,44,43.18,1.7843495064801584
LINKUSDT,0.5,1.0,10,924.4902187726346,91,40.66,1.3239076735578716
LINKUSDT,0.5,1.0,20,871.6858031432469,69,42.03,1.4295153683756143
LINKUSDT,0.5,1.0,50,993.9087182941016,41,43.9,1.8712104524916577
LINKUSDT,0.6,0.6,10,885.0674190440369,96,38.54,1.2855629600025493
LINKUSDT,0.6,0.6,20,652.627268167595,69,39.13,1.3115306386963281
LINKUSDT,0.6,0.6,50,636.433482826794,44,38.64,1.4727943502089134
LINKUSDT,0.6,0.8,10,953.4705967247256,93,38.71,1.3222935389928099
LINKUSDT,0.6,0.8,20,741.9159974000138,67,40.3,1.3699191115516
LINKUSDT,0.6,0.8,50,688.788893435287,43,39.53,1.5323950799562027
LINKUSDT,0.6,1.0,10,817.6767974286109,79,40.51,1.3262168677555735
LINKUSDT,0.6,1.0,20,510.57538163938665,62,38.71,1.263709792344599
LINKUSDT,0.6,1.0,50,708.851938756565,40,40.0,1.5941784003278943
GRAMUSDT,0.4,0.6,10,-383.94138961271983,27,22.22,0.5678076026767039
GRAMUSDT,0.4,0.6,20,-458.804579833981,19,15.79,0.3435630521072715
GRAMUSDT,0.4,0.6,50,-376.7942617061355,10,10.0,0.17773964611311252
GRAMUSDT,0.4,0.8,10,-347.9249694890858,26,23.08,0.5918008090037523
GRAMUSDT,0.4,0.8,20,-458.804579833981,19,15.79,0.3435630521072715
GRAMUSDT,0.4,0.8,50,-376.7942617061355,10,10.0,0.17773964611311252
GRAMUSDT,0.4,1.0,10,-162.5896296714668,22,27.27,0.7568266053390688
GRAMUSDT,0.4,1.0,20,-416.0377810293177,18,16.67,0.36750755377700073
GRAMUSDT,0.4,1.0,50,-334.86994864619226,9,11.11,0.19563850578324704
GRAMUSDT,0.5,0.6,10,-226.99048095472602,22,27.27,0.6896521570112022
GRAMUSDT,0.5,0.6,20,-403.8216922020733,17,17.65,0.37289782044036707
GRAMUSDT,0.5,0.6,50,-334.29773486980287,9,11.11,0.19590777398878456
GRAMUSDT,0.5,0.8,10,-115.17993870541635,20,30.0,0.8141048105343295
GRAMUSDT,0.5,0.8,20,-403.8216922020733,17,17.65,0.37289782044036707
GRAMUSDT,0.5,0.8,50,-334.29773486980287,9,11.11,0.19590777398878456
GRAMUSDT,0.5,1.0,10,-76.82374159124979,19,31.58,0.8681929777433774
GRAMUSDT,0.5,1.0,20,-321.9680885902082,15,20.0,0.428836258787522
GRAMUSDT,0.5,1.0,50,-292.3734218098596,8,12.5,0.21787896998441306
GRAMUSDT,0.6,0.6,10,-147.7403875460816,17,29.41,0.7375153784985914
GRAMUSDT,0.6,0.6,20,-404.6124461041381,14,14.29,0.26942350669053733
GRAMUSDT,0.6,0.6,50,-235.9870770267469,7,14.29,0.25658108013181935
GRAMUSDT,0.6,0.8,10,-69.81380243414203,16,31.25,0.8560323205634066
GRAMUSDT,0.6,0.8,20,-404.6124461041381,14,14.29,0.26942350669053733
