symbol,NOVA_SMA,NOVA_EMA_FAST,NOVA_OSC_P,net,trades,win_pct,pf
FILUSDT,20,5,14,118.99891494101117,2462,84.48,1.6261583372735955
FILUSDT,20,7,2,101.04332008940344,1955,83.79,1.6669595476826358
FILUSDT,20,7,7,120.75248361698695,2615,84.24,1.587266241674302
FILUSDT,20,7,14,120.10813157727647,2602,84.47,1.5889336589339826
FILUSDT,20,9,2,101.81631444011946,1965,83.92,1.6688749764539192
FILUSDT,20,9,7,131.09872781647178,2713,84.45,1.6283374943854172
FILUSDT,20,9,14,129.3243580752422,2705,84.66,1.620279642220663
FILUSDT,50,5,2,80.5322023787899,1629,83.79,1.6237186755608575
FILUSDT,50,5,7,106.73905006281181,2110,84.83,1.6748192287802264
FILUSDT,50,5,14,107.07455423419121,2132,84.85,1.664625166598742
FILUSDT,50,7,2,85.94694801525722,1625,84.18,1.6839900415958953
FILUSDT,50,7,7,110.14412865994959,2183,84.84,1.675495027685296
FILUSDT,50,7,14,108.94924881789018,2212,84.76,1.647053926328726
FILUSDT,50,9,2,88.08397639879223,1617,84.48,1.714370256995928
FILUSDT,50,9,7,115.13658303749071,2254,85.14,1.6981147768012115
FILUSDT,50,9,14,113.65964467655121,2289,85.1,1.6663155757221264
FILUSDT,100,5,2,83.54660333759276,1531,84.13,1.6984468413731741
FILUSDT,100,5,7,98.13138354155032,1952,84.27,1.6355372061602955
FILUSDT,100,5,14,99.19361379310644,1995,84.36,1.62581279811546
FILUSDT,100,7,2,85.55935044727515,1511,84.45,1.738436524347574
FILUSDT,100,7,7,105.96916758565288,2006,84.45,1.6711691731550382
FILUSDT,100,7,14,106.77428642064963,2043,84.53,1.659494616188961
FILUSDT,100,9,2,83.32583714753045,1488,84.68,1.7295035523018776
FILUSDT,100,9,7,111.00786857263309,2047,84.81,1.7068843318556057
FILUSDT,100,9,14,109.08951906230945,2084,84.74,1.6692615054094528
