exp,symbol,neighbour,is_center,net,trades,pf,positive
F_165_score_entry,BTCUSDT,score_th=56/flow_mom=3.0/vol_mom=1.6,False,1.7564,89,1.2063,True
F_165_score_entry,BTCUSDT,score_th=56/flow_mom=3.0/vol_mom=2.0,False,2.1271,86,1.2654,True
F_165_score_entry,BTCUSDT,score_th=56/flow_mom=3.0/vol_mom=2.4,False,1.663,82,1.2075,True
F_165_score_entry,BTCUSDT,score_th=70/flow_mom=2.0/vol_mom=1.6,False,2.0789,80,1.2812,True
F_165_score_entry,BTCUSDT,score_th=70/flow_mom=2.0/vol_mom=2.0,False,2.371,74,1.3523,True
F_165_score_entry,BTCUSDT,score_th=70/flow_mom=2.0/vol_mom=2.4,False,1.0713,70,1.1501,True
F_165_score_entry,BTCUSDT,score_th=70/flow_mom=2.5/vol_mom=1.6,False,2.5773,79,1.3739,True
F_165_score_entry,BTCUSDT,score_th=70/flow_mom=2.5/vol_mom=2.0,True,2.371,74,1.3523,True
F_165_score_entry,BTCUSDT,score_th=70/flow_mom=2.5/vol_mom=2.4,False,1.0713,70,1.1501,True
F_165_score_entry,BTCUSDT,score_th=70/flow_mom=3.0/vol_mom=1.6,False,2.0588,76,1.2987,True
F_165_score_entry,BTCUSDT,score_th=70/flow_mom=3.0/vol_mom=2.0,False,1.8525,71,1.2753,True
F_165_score_entry,BTCUSDT,score_th=70/flow_mom=3.0/vol_mom=2.4,False,0.6709,68,1.094,True
F_165_score_entry,BTCUSDT,score_th=84/flow_mom=2.0/vol_mom=1.6,False,1.7246,51,1.3956,True
F_165_score_entry,BTCUSDT,score_th=84/flow_mom=2.0/vol_mom=2.0,False,1.7246,51,1.3956,True
F_165_score_entry,BTCUSDT,score_th=84/flow_mom=2.0/vol_mom=2.4,False,1.6607,50,1.3809,True
F_165_score_entry,BTCUSDT,score_th=84/flow_mom=2.5/vol_mom=1.6,False,1.7246,51,1.3956,True
F_165_score_entry,BTCUSDT,score_th=84/flow_mom=2.5/vol_mom=2.0,False,1.7246,51,1.3956,True
F_165_score_entry,BTCUSDT,score_th=84/flow_mom=2.5/vol_mom=2.4,False,1.6607,50,1.3809,True
F_165_score_entry,BTCUSDT,score_th=84/flow_mom=3.0/vol_mom=1.6,False,1.5816,49,1.3628,True
F_165_score_entry,BTCUSDT,score_th=84/flow_mom=3.0/vol_mom=2.0,False,1.5816,49,1.3628,True
F_165_score_entry,BTCUSDT,score_th=84/flow_mom=3.0/vol_mom=2.4,False,1.5177,48,1.3481,True
F_165_score_entry,ETHUSDT,score_th=56/flow_mom=3.2/vol_mom=1.6,False,11.7973,94,2.1741,True
F_165_score_entry,ETHUSDT,score_th=56/flow_mom=3.2/vol_mom=2.0,False,12.0382,92,2.246,True
F_165_score_entry,ETHUSDT,score_th=56/flow_mom=3.2/vol_mom=2.4,False,11.5133,89,2.2786,True
F_165_score_entry,ETHUSDT,score_th=56/flow_mom=4.0/vol_mom=1.6,False,11.4362,92,2.1381,True
F_165_score_entry,ETHUSDT,score_th=56/flow_mom=4.0/vol_mom=2.0,False,11.6771,90,2.2086,True
F_165_score_entry,ETHUSDT,score_th=56/flow_mom=4.0/vol_mom=2.4,False,11.052,86,2.2274,True
F_165_score_entry,ETHUSDT,score_th=56/flow_mom=4.8/vol_mom=1.6,False,12.1903,87,2.4084,True
F_165_score_entry,ETHUSDT,score_th=56/flow_mom=4.8/vol_mom=2.0,False,10.5547,85,2.0909,True
F_165_score_entry,ETHUSDT,score_th=56/flow_mom=4.8/vol_mom=2.4,False,9.7288,83,2.0055,True
F_165_score_entry,ETHUSDT,score_th=70/flow_mom=3.2/vol_mom=1.6,False,11.4373,80,2.4229,True
