NOVA_ZP,NOVA_ZTH,NOVA_WICK,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
50,-1.5,0.6,LINKUSDT,F_015,2026-08-13T16:45:00+00:00,2026-08-13T19:05:00+00:00,8.728332,8.819994,1000.0,10.5017,,tp,28
50,-1.5,0.6,LINKUSDT,F_015,2026-08-14T03:10:00+00:00,2026-08-14T04:25:00+00:00,8.835471,8.79916,1000.0,-4.1097,,stop,15
50,-1.5,0.6,LINKUSDT,F_015,2026-08-14T04:55:00+00:00,2026-08-14T04:55:00+00:00,8.817448,8.78701,1000.0,-3.452,,stop,0
50,-1.5,0.6,LINKUSDT,F_015,2026-08-14T06:35:00+00:00,2026-08-14T06:35:00+00:00,8.789411,8.757583,1000.0,-3.6212,,stop,0
50,-1.5,0.6,LINKUSDT,F_015,2026-08-14T08:30:00+00:00,2026-08-14T08:30:00+00:00,8.747357,8.719293,1000.0,-3.2083,,stop,0
50,-1.5,0.6,LINKUSDT,F_015,2026-08-14T08:35:00+00:00,2026-08-14T08:55:00+00:00,8.751362,8.775653,1000.0,2.7757,,tp,4
50,-1.5,0.6,LINKUSDT,F_015,2026-08-14T15:15:00+00:00,2026-08-14T15:35:00+00:00,8.793417,8.865876,1000.0,8.2402,,tp,4
50,-1.5,0.6,LINKUSDT,F_015,2026-08-15T07:55:00+00:00,2026-08-15T08:00:00+00:00,9.362155,9.296625,1000.0,-6.9994,,stop,1
50,-1.5,0.6,LINKUSDT,F_015,2026-08-15T08:10:00+00:00,2026-08-15T08:35:00+00:00,9.340126,9.2722,1000.0,-7.2726,,stop,5
50,-1.5,0.6,LINKUSDT,F_015,2026-08-15T08:45:00+00:00,2026-08-15T09:20:00+00:00,9.301076,9.2332,1000.0,-7.2976,,stop,7
50,-1.5,0.6,LINKUSDT,F_015,2026-08-15T22:50:00+00:00,2026-08-15T23:10:00+00:00,9.553403,9.506029,1000.0,-4.9589,,stop,4
50,-1.5,0.6,LINKUSDT,F_015,2026-08-15T23:05:00+00:00,2026-08-15T23:10:00+00:00,9.548397,9.500173,1000.0,-5.0504,,stop,1
50,-1.5,0.6,LINKUSDT,F_015,2026-08-15T23:50:00+00:00,2026-08-16T00:05:00+00:00,9.493325,9.444032,1000.0,-5.1924,,stop,3
50,-1.5,0.6,LINKUSDT,F_015,2026-08-16T00:30:00+00:00,2026-08-16T00:45:00+00:00,9.461284,9.411033,1000.0,-5.3111,,stop,3
50,-1.5,0.6,LINKUSDT,F_015,2026-08-16T04:40:00+00:00,2026-08-16T06:35:00+00:00,9.379177,9.333314,1000.0,-4.8899,,stop,23
50,-1.5,0.6,LINKUSDT,F_015,2026-08-16T12:20:00+00:00,2026-08-16T12:40:00+00:00,9.377174,9.318045,1000.0,-6.3057,,stop,4
50,-1.5,0.6,LINKUSDT,F_015,2026-08-16T12:50:00+00:00,2026-08-16T14:10:00+00:00,9.348137,9.292184,1000.0,-5.9854,,stop,16
50,-1.5,0.6,LINKUSDT,F_015,2026-08-16T22:45:00+00:00,2026-08-17T01:05:00+00:00,9.380178,9.467569,1000.0,9.3165,,tp,28
50,-1.5,0.6,LINKUSDT,F_015,2026-08-17T05:20:00+00:00,2026-08-17T05:25:00+00:00,9.463286,9.427871,1000.0,-3.7424,,stop,1
50,-1.5,0.6,LINKUSDT,F_015,2026-08-17T06:05:00+00:00,2026-08-17T07:00:00+00:00,9.434249,9.470492,1000.0,3.8417,,tp,11
50,-1.5,0.6,LINKUSDT,F_015,2026-08-17T08:30:00+00:00,2026-08-17T10:35:00+00:00,9.410217,9.462757,1000.0,5.5832,,tp,25
50,-1.5,0.6,LINKUSDT,F_015,2026-08-17T19:05:00+00:00,2026-08-18T01:45:00+00:00,9.495328,9.441039,1000.0,-5.7175,,stop,80
50,-1.5,0.6,LINKUSDT,F_015,2026-08-17T19:25:00+00:00,2026-08-18T01:45:00+00:00,9.493325,9.442748,1000.0,-5.3277,,stop,76
50,-1.5,0.6,LINKUSDT,F_015,2026-08-18T02:10:00+00:00,2026-08-18T02:20:00+00:00,9.461284,9.418167,1000.0,-4.5572,,stop,2
50,-1.5,0.6,LINKUSDT,F_015,2026-08-18T02:40:00+00:00,2026-08-18T02:40:00+00:00,9.422233,9.374031,1000.0,-5.1158,,stop,0
50,-1.5,0.6,LINKUSDT,F_015,2026-08-18T03:05:00+00:00,2026-08-18T06:25:00+00:00,9.392194,9.470723,1000.0,8.3611,,tp,40
50,-1.5,0.6,LINKUSDT,F_015,2026-08-19T13:10:00+00:00,2026-08-19T13:50:00+00:00,9.728631,9.661911,1000.0,-6.8581,,stop,8
50,-1.5,0.6,LINKUSDT,F_015,2026-08-19T14:00:00+00:00,2026-08-19T15:05:00+00:00,9.692584,9.810956,1000.0,12.2126,,tp,13
50,-1.5,0.6,LINKUSDT,F_015,2026-08-19T14:15:00+00:00,2026-08-19T15:05:00+00:00,9.707604,9.819393,1000.0,11.5157,,tp,10
50,-1.5,0.6,LINKUSDT,F_015,2026-08-20T03:20:00+00:00,2026-08-20T06:50:00+00:00,10.447564,10.567523,1000.0,11.482,,tp,42
50,-1.5,0.6,LINKUSDT,F_015,2026-08-20T12:40:00+00:00,2026-08-20T16:35:00+00:00,10.583741,10.733198,1000.0,14.1214,,tp,47
50,-1.5,0.6,LINKUSDT,F_015,2026-08-21T11:40:00+00:00,2026-08-21T15:15:00+00:00,11.334716,11.577075,1000.0,21.382,,tp,43
50,-1.5,0.6,LINKUSDT,F_015,2026-08-22T05:20:00+00:00,2026-08-22T05:25:00+00:00,11.710204,11.252556,1000.0,-39.0811,,stop,1
50,-1.5,0.6,LINKUSDT,F_015,2026-08-22T05:30:00+00:00,2026-08-23T04:50:00+00:00,11.858396,11.286419,1000.0,-48.2339,,stop,280
50,-1.5,0.6,LINKUSDT,F_015,2026-08-22T10:35:00+00:00,2026-08-22T12:15:00+00:00,11.480906,11.787562,1000.0,26.7101,,tp,20
50,-1.5,0.6,LINKUSDT,F_015,2026-08-22T15:30:00+00:00,2026-08-22T22:00:00+00:00,11.598058,11.460996,1000.0,-11.8176,,stop,78
50,-1.5,0.6,LINKUSDT,F_015,2026-08-22T21:45:00+00:00,2026-08-22T22:00:00+00:00,11.580034,11.472957,1000.0,-9.2467,,stop,3
50,-1.5,0.6,LINKUSDT,F_015,2026-08-23T02:30:00+00:00,2026-08-23T03:30:00+00:00,11.543988,11.446944,1000.0,-8.4064,,stop,12
50,-1.5,0.6,LINKUSDT,F_015,2026-08-23T04:10:00+00:00,2026-08-23T04:45:00+00:00,11.44586,11.355507,1000.0,-7.8939,,stop,7
50,-1.5,0.6,LINKUSDT,F_015,2026-08-23T05:20:00+00:00,2026-08-23T13:15:00+00:00,11.213559,11.523701,1000.0,27.6578,,tp,95
50,-1.5,0.6,LINKUSDT,F_015,2026-08-23T06:05:00+00:00,2026-08-23T10:20:00+00:00,11.152479,11.417046,1000.0,23.7227,,tp,51
50,-1.5,0.6,LINKUSDT,F_015,2026-08-23T20:10:00+00:00,2026-08-23T21:05:00+00:00,11.475899,11.577115,1000.0,8.8199,,tp,11
50,-1.5,0.6,LINKUSDT,F_015,2026-08-24T00:30:00+00:00,2026-08-24T01:45:00+00:00,11.455873,11.342537,1000.0,-9.8933,,stop,15
