symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held,driver
ETHUSDT,F_192_ext_entry,2025-05-29T04:00:00+00:00,2025-05-29T12:00:00+00:00,2766.09125,2645.877132,20.0,-0.8692,,stop,2,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-06-04T16:00:00+00:00,2025-06-05T12:00:00+00:00,2671.388296,2569.684786,20.0,-0.7614,,stop,5,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-06-09T20:00:00+00:00,2025-06-10T00:00:00+00:00,2583.934754,2688.335423,20.0,0.8081,,stop,1,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-06-10T12:00:00+00:00,2025-06-10T20:00:00+00:00,2777.245732,2800.110318,20.0,0.1647,,stop,2,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-06-11T16:00:00+00:00,2025-06-12T08:00:00+00:00,2868.92476,2722.592212,20.0,-1.0201,,stop,4,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-06-16T20:00:00+00:00,2025-06-16T20:00:00+00:00,2663.998702,2576.467791,20.0,-0.6571,,stop,0,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-07-16T00:00:00+00:00,2025-07-16T04:00:00+00:00,3141.97927,3152.015223,20.0,0.0639,,stop,1,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-07-16T08:00:00+00:00,2025-07-16T16:00:00+00:00,3166.551172,3258.585972,20.0,0.5813,,stop,2,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-07-17T08:00:00+00:00,2025-07-17T12:00:00+00:00,3452.38227,3468.714421,20.0,0.0946,,stop,1,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-07-18T04:00:00+00:00,2025-07-18T08:00:00+00:00,3601.07532,3666.128757,20.0,0.3613,,stop,1,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-07-20T12:00:00+00:00,2025-07-20T16:00:00+00:00,3761.58371,3777.502854,20.0,0.0846,,stop,1,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-07-27T12:00:00+00:00,2025-07-27T16:00:00+00:00,3820.219838,3832.422193,20.0,0.0639,,stop,1,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-07-28T00:00:00+00:00,2025-07-28T04:00:00+00:00,3877.143743,3894.515739,20.0,0.0896,,stop,1,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-08-05T00:00:00+00:00,2025-08-05T12:00:00+00:00,3725.827287,3588.864262,20.0,-0.7352,,stop,3,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-08-08T00:00:00+00:00,2025-08-08T04:00:00+00:00,3915.38339,3960.729102,20.0,0.2316,,stop,1,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-08-08T20:00:00+00:00,2025-08-09T08:00:00+00:00,4066.259274,4191.184368,20.0,0.6144,,stop,3,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-08-09T20:00:00+00:00,2025-08-10T00:00:00+00:00,4264.106141,4317.119479,20.0,0.2486,,stop,1,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-08-12T20:00:00+00:00,2025-08-13T00:00:00+00:00,4522.842061,4629.961455,20.0,0.4737,,stop,1,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-08-13T04:00:00+00:00,2025-08-13T08:00:00+00:00,4653.031087,4667.893566,20.0,0.0639,,stop,1,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-08-13T12:00:00+00:00,2025-08-13T16:00:00+00:00,4696.377364,4721.20081,20.0,0.1057,,stop,1,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-08-13T20:00:00+00:00,2025-08-14T00:00:00+00:00,4745.140674,4768.075733,20.0,0.0967,,stop,1,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-09-10T16:00:00+00:00,2025-09-11T08:00:00+00:00,4410.62637,4435.32657,20.0,0.112,,stop,4,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-09-12T04:00:00+00:00,2025-09-12T08:00:00+00:00,4511.407215,4553.422446,20.0,0.1863,,stop,1,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-09-13T04:00:00+00:00,2025-09-13T16:00:00+00:00,4762.98384,4616.05373,20.0,-0.617,,stop,3,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-10-05T08:00:00+00:00,2025-10-05T20:00:00+00:00,4611.967774,4468.645259,20.0,-0.6215,,stop,3,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-10-06T16:00:00+00:00,2025-10-06T20:00:00+00:00,4679.465407,4723.245245,20.0,0.1871,,stop,1,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2026-01-05T04:00:00+00:00,2026-01-05T16:00:00+00:00,3190.001618,3200.190962,20.0,0.0639,,stop,3,F_192_ext_entry
