NOVA_COOL_S,NOVA_MAX_PER,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
300.0,2,LINKUSDT,F_205,2026-08-26T02:56:00+00:00,2026-08-26T02:57:00+00:00,11.449866,11.422711,1000.0,-2.3716,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-26T03:02:00+00:00,2026-08-26T03:03:00+00:00,11.46088,11.431999,1000.0,-2.52,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-26T04:25:00+00:00,2026-08-26T04:28:00+00:00,11.465886,11.4253,1000.0,-3.5398,,stop,3
300.0,2,LINKUSDT,F_205,2026-08-26T05:25:00+00:00,2026-08-26T05:26:00+00:00,11.395795,11.352161,1000.0,-3.829,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-26T05:33:00+00:00,2026-08-26T05:52:00+00:00,11.413819,11.374156,1000.0,-3.475,,stop,19
300.0,2,LINKUSDT,F_205,2026-08-26T05:38:00+00:00,2026-08-26T05:39:00+00:00,11.423832,11.385725,1000.0,-3.3357,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-26T06:06:00+00:00,2026-08-26T06:08:00+00:00,11.424833,11.394002,1000.0,-2.6986,,stop,2
300.0,2,LINKUSDT,F_205,2026-08-26T06:57:00+00:00,2026-08-26T06:58:00+00:00,11.392791,11.361716,1000.0,-2.7276,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-26T07:07:00+00:00,2026-08-26T07:08:00+00:00,11.402804,11.368149,1000.0,-3.0392,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-26T07:51:00+00:00,2026-08-26T07:52:00+00:00,11.392791,11.361003,1000.0,-2.7902,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-26T10:17:00+00:00,2026-08-26T10:24:00+00:00,11.311686,11.338356,1000.0,2.3577,,tp,7
300.0,2,LINKUSDT,F_205,2026-08-26T10:24:00+00:00,2026-08-26T10:39:00+00:00,11.367759,11.396924,1000.0,2.5656,,tp,15
300.0,2,LINKUSDT,F_205,2026-08-26T10:33:00+00:00,2026-08-26T10:39:00+00:00,11.386784,11.410502,1000.0,2.083,,tp,6
300.0,2,LINKUSDT,F_205,2026-08-26T10:40:00+00:00,2026-08-26T11:36:00+00:00,11.443858,11.40544,1000.0,-3.3571,,stop,56
300.0,2,LINKUSDT,F_205,2026-08-26T10:50:00+00:00,2026-08-26T11:24:00+00:00,11.477902,11.430309,1000.0,-4.1465,,stop,34
300.0,2,LINKUSDT,F_205,2026-08-26T12:22:00+00:00,2026-08-26T12:27:00+00:00,11.420828,11.447926,1000.0,2.3727,,tp,5
300.0,2,LINKUSDT,F_205,2026-08-26T12:28:00+00:00,2026-08-26T12:30:00+00:00,11.487915,11.445873,1000.0,-3.6597,,stop,2
300.0,2,LINKUSDT,F_205,2026-08-26T13:35:00+00:00,2026-08-26T13:52:00+00:00,11.36075,11.293906,1000.0,-5.8838,,stop,17
300.0,2,LINKUSDT,F_205,2026-08-26T13:46:00+00:00,2026-08-26T13:47:00+00:00,11.388786,11.335031,1000.0,-4.72,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-26T15:24:00+00:00,2026-08-26T16:27:00+00:00,11.208552,11.152749,1000.0,-4.9786,,stop,63
300.0,2,LINKUSDT,F_205,2026-08-26T15:30:00+00:00,2026-08-26T15:31:00+00:00,11.264625,11.210461,1000.0,-4.8083,,stop,1
