NOVA_RSI2_OS,NOVA_SMA_TREND,NOVA_SMA_PULL,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
15,200,3,LINKUSDT,F_001,2026-08-22T01:50:00+00:00,2026-08-22T02:55:00+00:00,12.03062,12.197028,1000.0,13.8321,,tp,13
15,200,3,LINKUSDT,F_001,2026-08-22T04:20:00+00:00,2026-08-22T05:05:00+00:00,12.342024,12.162906,1000.0,-14.5129,,stop,9
15,200,3,LINKUSDT,F_001,2026-08-22T04:30:00+00:00,2026-08-22T05:05:00+00:00,12.334013,12.164037,1000.0,-13.7811,,stop,7
15,200,3,LINKUSDT,F_001,2026-08-22T05:10:00+00:00,2026-08-22T05:10:00+00:00,12.047642,11.797428,1000.0,-20.7687,,stop,0
15,200,3,LINKUSDT,F_001,2026-08-23T01:05:00+00:00,2026-08-23T01:40:00+00:00,11.690178,11.605214,1000.0,-7.2679,,stop,7
15,200,3,LINKUSDT,F_001,2026-08-23T14:25:00+00:00,2026-08-23T14:40:00+00:00,11.586042,11.435157,1000.0,-13.023,,stop,3
15,200,3,LINKUSDT,F_001,2026-08-23T14:35:00+00:00,2026-08-23T14:40:00+00:00,11.56101,11.436552,1000.0,-10.7653,,stop,1
15,200,3,LINKUSDT,F_001,2026-08-23T16:00:00+00:00,2026-08-23T21:25:00+00:00,11.475899,11.674702,1000.0,17.3235,,tp,65
15,200,3,LINKUSDT,F_001,2026-08-23T17:35:00+00:00,2026-08-23T21:15:00+00:00,11.500932,11.638924,1000.0,11.9984,,tp,44
15,200,3,LINKUSDT,F_001,2026-08-23T19:15:00+00:00,2026-08-23T20:00:00+00:00,11.538981,11.45507,1000.0,-7.272,,stop,9
15,200,3,LINKUSDT,F_001,2026-08-23T19:30:00+00:00,2026-08-23T20:00:00+00:00,11.530971,11.454346,1000.0,-6.6451,,stop,6
15,200,3,LINKUSDT,F_001,2026-08-23T20:00:00+00:00,2026-08-23T20:00:00+00:00,11.508942,11.440479,1000.0,-5.9487,,stop,0
15,200,3,LINKUSDT,F_001,2026-08-23T20:05:00+00:00,2026-08-23T21:00:00+00:00,11.462882,11.565257,1000.0,8.9309,,tp,11
15,200,3,LINKUSDT,F_001,2026-08-23T22:05:00+00:00,2026-08-23T23:10:00+00:00,11.598058,11.465134,1000.0,-11.4609,,stop,13
15,200,3,LINKUSDT,F_001,2026-08-23T23:05:00+00:00,2026-08-24T00:15:00+00:00,11.541985,11.43938,1000.0,-8.8897,,stop,14
15,200,3,LINKUSDT,F_001,2026-08-23T23:15:00+00:00,2026-08-24T00:25:00+00:00,11.508942,11.418935,1000.0,-7.8206,,stop,14
15,200,3,LINKUSDT,F_001,2026-08-24T06:35:00+00:00,2026-08-24T08:15:00+00:00,11.523962,11.424376,1000.0,-8.6416,,stop,20
15,200,3,LINKUSDT,F_001,2026-08-24T07:40:00+00:00,2026-08-24T08:10:00+00:00,11.538981,11.442087,1000.0,-8.3971,,stop,6
15,200,3,LINKUSDT,F_001,2026-08-24T09:55:00+00:00,2026-08-24T10:50:00+00:00,11.591049,11.519197,1000.0,-6.1989,,stop,11
15,200,3,LINKUSDT,F_001,2026-08-24T10:30:00+00:00,2026-08-24T10:50:00+00:00,11.601062,11.517641,1000.0,-7.1908,,stop,4
15,200,3,LINKUSDT,F_001,2026-08-24T12:15:00+00:00,2026-08-24T13:30:00+00:00,11.652128,11.545385,1000.0,-9.1608,,stop,15
15,200,3,LINKUSDT,F_001,2026-08-24T13:35:00+00:00,2026-08-24T13:40:00+00:00,11.62309,11.506684,1000.0,-10.0151,,stop,1
15,200,3,LINKUSDT,F_001,2026-08-24T13:45:00+00:00,2026-08-24T14:40:00+00:00,11.558006,11.757558,1000.0,17.2653,,tp,11
15,200,3,LINKUSDT,F_001,2026-08-24T15:10:00+00:00,2026-08-24T15:40:00+00:00,11.679163,11.552697,1000.0,-10.8284,,stop,6
15,200,3,LINKUSDT,F_001,2026-08-24T15:40:00+00:00,2026-08-24T15:55:00+00:00,11.641114,11.51327,1000.0,-10.9821,,stop,3
15,200,3,LINKUSDT,F_001,2026-08-24T16:50:00+00:00,2026-08-24T16:50:00+00:00,11.640112,11.514695,1000.0,-10.7746,,stop,0
15,200,3,LINKUSDT,F_001,2026-08-24T22:10:00+00:00,2026-08-25T00:45:00+00:00,11.606068,11.733081,1000.0,10.9437,,tp,31
15,200,3,LINKUSDT,F_001,2026-08-25T02:50:00+00:00,2026-08-25T04:05:00+00:00,11.816341,11.679852,1000.0,-11.5509,,stop,15
15,200,3,LINKUSDT,F_001,2026-08-25T03:25:00+00:00,2026-08-25T04:05:00+00:00,11.825353,11.682004,1000.0,-12.1222,,stop,8
15,200,3,LINKUSDT,F_001,2026-08-25T03:50:00+00:00,2026-08-25T07:45:00+00:00,11.757265,11.641967,1000.0,-9.8065,,stop,47
15,200,3,LINKUSDT,F_001,2026-08-25T05:45:00+00:00,2026-08-25T06:50:00+00:00,11.791309,11.69851,1000.0,-7.8701,,stop,13
15,200,3,LINKUSDT,F_001,2026-08-25T06:45:00+00:00,2026-08-25T06:50:00+00:00,11.781296,11.704203,1000.0,-6.5436,,stop,1
15,200,3,LINKUSDT,F_001,2026-08-25T06:55:00+00:00,2026-08-25T07:45:00+00:00,11.736237,11.664197,1000.0,-6.1383,,stop,10
15,200,3,LINKUSDT,F_001,2026-08-26T11:30:00+00:00,2026-08-26T11:35:00+00:00,11.452869,11.380627,1000.0,-6.3078,,stop,1
15,200,3,LINKUSDT,F_001,2026-08-26T11:40:00+00:00,2026-08-26T12:15:00+00:00,11.41482,11.338347,1000.0,-6.6995,,stop,7
15,200,3,LINKUSDT,F_001,2026-08-26T13:05:00+00:00,2026-08-26T13:15:00+00:00,11.393793,11.287386,1000.0,-9.339,,stop,2
15,200,3,LINKUSDT,F_001,2026-08-26T22:40:00+00:00,2026-08-27T01:05:00+00:00,11.531972,11.447357,1000.0,-7.3374,,stop,29
15,200,3,LINKUSDT,F_001,2026-08-27T00:45:00+00:00,2026-08-27T00:55:00+00:00,11.554001,11.481769,1000.0,-6.2516,,stop,2
15,200,3,LINKUSDT,F_001,2026-08-27T00:55:00+00:00,2026-08-27T01:05:00+00:00,11.515951,11.442485,1000.0,-6.3795,,stop,2
15,200,3,LINKUSDT,F_001,2026-08-27T01:10:00+00:00,2026-08-27T05:50:00+00:00,11.485912,11.591681,1000.0,9.2085,,tp,56
15,200,3,LINKUSDT,F_001,2026-08-27T02:30:00+00:00,2026-08-27T08:00:00+00:00,11.551998,11.671662,1000.0,10.3587,,tp,66
15,200,3,LINKUSDT,F_001,2026-08-27T03:15:00+00:00,2026-08-27T05:50:00+00:00,11.52296,11.602429,1000.0,6.8965,,tp,31
15,200,3,LINKUSDT,F_001,2026-08-27T03:55:00+00:00,2026-08-27T05:50:00+00:00,11.513949,11.60256,1000.0,7.696,,tp,23
15,200,3,LINKUSDT,F_001,2026-08-27T06:15:00+00:00,2026-08-27T08:00:00+00:00,11.571023,11.703217,1000.0,11.4246,,tp,21
15,200,3,LINKUSDT,F_001,2026-08-27T10:25:00+00:00,2026-08-27T10:25:00+00:00,11.817343,11.707817,1000.0,-9.2682,,stop,0
15,200,3,LINKUSDT,F_001,2026-08-27T10:30:00+00:00,2026-08-27T10:35:00+00:00,11.779293,11.655122,1000.0,-10.5415,,stop,1
15,200,3,LINKUSDT,F_001,2026-08-27T10:40:00+00:00,2026-08-27T13:15:00+00:00,11.677161,11.895961,1000.0,18.7375,,tp,31
